,datetime,city,state,shape,comment
114,12/7/20 19:30,Rockledge,FL,Oval,"Saw 4 orange orbs in total, one passed right over my house slowly, but steadily, I couldnt really make out the shape because it was very bright, then a second passed after I related it to a neighbor and the neighbor saw it too and as we were watching the second one disappear over the ocean two more came along the same path together at the same time. Minutes later a girl saw us watching the sky and showed us a video of the first orb that passed over, but I dont think she saw the two that came just a little later (she got back into her car). Unlike anything I have ever seen, no trail, no noise and appeared to have unbridled speed, although they all went about the same speed across the sky on a very clear night."
115,12/7/20 19:00,Slidell,LA,Light,Here are longitude and latitude  30 18'15&quot; N 89 52'15&quot; w  30 17'39&quot; N 89 52'15&quot;W  30 17'38&quot;N 89 52'23&quot;W
116,12/7/20 17:56,North Java,<br/>,Light,"Took dog out. Large bright white light directly overhead.  Not moving  then started moving to east and slightly south. Then began to descend, then disappeared.  No red lights  moved faster than a plane does. Light larger 10x or so and brighter than anything I've seen."
117,12/7/20 12:57,Phoenixville,PA,Cigar,White haze horizontal cigar/ sphere shaped object. Flying from south to north. Very high in sky no sound. Consistent travel speed. I see these on occasion while on deck watching for shooting stars. Bare eye observation. I'm a housewife and a bit of a nightowl...no drugs used. this is my first report. I also see quick moving dark shadows on occasion. I observe sky approximately 3 nights per month.  I will report from now on! This white hazy object was not my imagination. Could it just be man made? Was very large and distant. Responses anyone?
118,12/7/20 05:20,Parrish,FL,Sphere,It was a pink orb with a pink tail. When I sat in awe as it was coming down it slowly went up and almost looked as though it was twinkling or on fire briefly but then as it went up a bit then disappeared it lost its glow only in the orb. It was not flying in a normal pattern. I also had an angel cloud form over the same place. I did get a picture of that two actually. but then it disappeared after a few minutes.
119,12/7/20 05:20,Parrish,FL,Sphere,It was a pink orb with a pink tail. When I sat in awe as it was coming down it slowly went up and almost looked as though it was twinkling or on fire briefly but then as it went up a bit then disappeared it lost its glow only in the orb. It was not flying in a normal pattern. I also had an angel cloud form over the same place. I did get a picture of that two actually. but then it disappeared after a few minutes.
120,12/7/20 05:20,Parrish,FL,Sphere,It was a pink orb with a pink tail. When I sat in awe as it was coming down it slowly went up and almost looked as though it was twinkling or on fire briefly but then as it went up a bit then disappeared it lost its glow only in the orb. It was not flying in a normal pattern. I also had an angel cloud form over the same place. I did get a picture of that two actually. but then it disappeared after a few minutes.
121,12/7/20 04:45,Buffalo,NY,Changing,"Quick sighting of a strange object flying through the air, accompanied with a loud sound and strange energy."
122,12/7/20 04:45,Buffalo,NY,Changing,"Quick sighting of a strange object flying through the air, accompanied with a loud sound and strange energy."
123,12/7/20 00:00,Jacksonville,FL,Sphere,Saw sphere ufo moving up and down and side to side driving back from airport.
124,12/7/20 00:00,Jacksonville,FL,Sphere,Saw sphere ufo moving up and down and side to side driving back from airport.
125,12/6/20 22:00,Bordentown,NJ,Rectangle,Few thousand feet above roof..below Orion's belt. Flashing .. pulsing..zoomed in and rectangle shape...I have been trying Ce5 recently. Awesome
126,12/6/20 20:10,Indianapolis,NY,Light,Red/orange orb hovering and moving in a serpentine pattern in western sky
127,12/6/20 19:00,Edmond,OK,Unknown,Two extremely bright lights appear quickly high in the sky and disappear as fast.
128,12/6/20 19:00,Northbrook,IL,Unknown,Witnessed near grocery store
129,12/6/20 17:55,Manheim,PA,Triangle,unusal obect in the sky
